[2026-05-14 18:59:04,405] WARNING in app: Open the interview app at: http://127.0.0.1:5000, http://192.168.70.102:5000
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.70.102:5000
Press CTRL+C to quit
192.168.70.102 - - [14/May/2026 18:59:16] "HEAD / HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:02:15] "POST / HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:02:15] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:02:21] "GET / HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:02:21] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:02:38] "POST /api/parse-resume HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:02:46] "POST / HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:02:47] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:02:54] "GET /start-test/umzwfRNDnmlhocL3hETk6ywyPlrKDp-s8hzUvbKTV6k HTTP/1.1" 302 -
192.168.70.117 - - [14/May/2026 19:02:54] "GET /roles HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:02:54] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:02:56] "POST /roles HTTP/1.1" 302 -
192.168.70.117 - - [14/May/2026 19:02:56] "GET /interview HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:02:56] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:02:56] "GET /static/js/interview.js HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:03:22] "GET /interview HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:03:23] "GET /favicon.ico HTTP/1.1" 404 -
192.168.70.117 - - [14/May/2026 19:03:23] "GET /favicon.ico HTTP/1.1" 404 -
192.168.70.117 - - [14/May/2026 19:03:27] "GET /interview HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:03:27] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:03:27] "GET /static/js/interview.js HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:03:49] "GET /start-test/umzwfRNDnmlhocL3hETk6ywyPlrKDp-s8hzUvbKTV6k HTTP/1.1" 410 -
192.168.70.117 - - [14/May/2026 19:03:49] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:03:51] "GET / HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:03:51] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:03:56] "POST /api/parse-resume HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:04:03] "POST / HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:04:03] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:04:13] "GET /start-test/kxeg3_KqEd_AKLsLBWJ_qExYerFgONt0dH6pnjiYGKs HTTP/1.1" 302 -
192.168.70.117 - - [14/May/2026 19:04:13] "GET /roles HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:04:13] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:04:15] "POST /roles HTTP/1.1" 302 -
192.168.70.117 - - [14/May/2026 19:04:15] "GET /interview HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:04:15] "GET /static/css/style.css HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:04:15] "GET /static/js/interview.js HTTP/1.1" 304 -
192.168.70.117 - - [14/May/2026 19:04:39] "GET /interview HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:04:39] "GET /favicon.ico HTTP/1.1" 404 -
192.168.70.117 - - [14/May/2026 19:04:39] "GET /favicon.ico HTTP/1.1" 404 -
192.168.70.117 - - [14/May/2026 19:04:57] "GET /interview HTTP/1.1" 200 -
192.168.70.117 - - [14/May/2026 19:04:57] "GET /favicon.ico HTTP/1.1" 404 -
192.168.70.117 - - [14/May/2026 19:04:57] "GET /favicon.ico HTTP/1.1" 404 -
